time [iso8601],temperature_2m [°C],relative_humidity_2m [%],cloud_cover [%],wind_speed_10m [km/h],wind_direction_10m [°],rain [mm]
2025-02-20T00:00,-2.9,54,0,9.5,143,0.0
2025-02-20T01:00,-2.7,50,0,9.8,144,0.0
2025-02-20T02:00,-2.5,47,0,9.5,148,0.0
2025-02-20T03:00,-2.0,50,0,11.6,159,0.0
2025-02-20T04:00,-2.4,52,11,11.1,166,0.0
2025-02-20T05:00,-2.9,55,34,9.7,170,0.0
2025-02-20T06:00,-3.4,57,17,8.1,183,0.0
2025-02-20T07:00,-4.2,61,0,6.2,190,0.0
2025-02-20T08:00,-4.4,63,17,6.9,189,0.0
2025-02-20T09:00,-4.0,62,47,7.0,203,0.0
2025-02-20T10:00,-1.4,52,7,6.4,188,0.0
2025-02-20T11:00,1.9,43,5,3.0,166,0.0
2025-02-20T12:00,4.6,38,0,0.3,45,0.0
2025-02-20T13:00,6.7,36,25,2.2,114,0.0
2025-02-20T14:00,8.6,35,45,3.1,144,0.0
2025-02-20T15:00,8.6,41,91,4.5,178,0.0
2025-02-20T16:00,9.1,47,99,6.7,189,0.0
2025-02-20T17:00,8.5,53,100,7.5,200,0.0
2025-02-20T18:00,6.3,63,100,6.2,188,0.0
2025-02-20T19:00,4.6,70,81,8.2,161,0.0
2025-02-20T20:00,2.6,85,76,7.5,172,0.0
2025-02-20T21:00,1.8,91,81,6.5,174,0.0
2025-02-20T22:00,0.2,92,100,4.8,165,0.0
2025-02-20T23:00,0.0,91,100,4.9,170,0.0
2025-02-21T00:00,0.7,91,100,5.6,163,0.0
2025-02-21T01:00,1.1,90,100,5.3,170,0.0
2025-02-21T02:00,1.0,89,100,3.5,168,0.0
2025-02-21T03:00,4.0,90,100,3.9,193,0.3
2025-02-21T04:00,4.0,89,100,1.9,158,1.0
2025-02-21T05:00,3.6,94,100,5.5,157,0.3
2025-02-21T06:00,3.1,95,100,6.0,171,0.2
2025-02-21T07:00,1.9,96,79,5.2,192,0.0
2025-02-21T08:00,1.1,96,100,6.2,173,0.0
2025-02-21T09:00,1.8,96,100,8.1,180,0.0
2025-02-21T10:00,3.6,94,100,8.5,184,0.0
2025-02-21T11:00,5.6,92,100,7.0,192,0.0
2025-02-21T12:00,8.2,87,100,4.1,193,0.0
2025-02-21T13:00,10.6,79,100,1.8,143,0.0
2025-02-21T14:00,12.3,74,100,2.8,135,0.0
2025-02-21T15:00,13.2,68,100,5.5,148,0.0
2025-02-21T16:00,13.8,64,100,7.1,153,0.0
2025-02-21T17:00,13.4,66,94,6.9,152,0.0
2025-02-21T18:00,11.3,73,86,8.8,165,0.0
2025-02-21T19:00,8.6,83,90,11.1,168,0.0
2025-02-21T20:00,7.2,86,100,11.8,167,0.0
2025-02-21T21:00,6.3,85,100,10.8,170,0.0
2025-02-21T22:00,5.7,84,89,9.7,162,0.0
2025-02-21T23:00,5.4,83,98,8.4,161,0.0
2025-02-22T00:00,4.8,83,11,7.4,157,0.0
2025-02-22T01:00,4.0,82,27,6.4,172,0.0
2025-02-22T02:00,3.7,80,76,5.6,174,0.0
2025-02-22T03:00,4.0,78,45,7.0,154,0.0
2025-02-22T04:00,4.3,78,28,8.0,153,0.0
2025-02-22T05:00,4.1,75,44,8.0,166,0.0
2025-02-22T06:00,5.9,64,60,11.1,172,0.0
2025-02-22T07:00,6.2,62,88,10.2,189,0.0
2025-02-22T08:00,4.5,68,100,8.0,188,0.0
2025-02-22T09:00,4.8,69,100,5.9,211,0.0
2025-02-22T10:00,6.7,67,100,2.4,253,0.0
2025-02-22T11:00,8.1,67,100,0.9,37,0.0
2025-02-22T12:00,9.9,58,100,2.4,54,0.0
